DOI,Title,Published Date
10.1111/1468-0262.00199,Potential Pitfalls for the Purchasing-Power-Parity Puzzle? Sampling and Specification Biases in Mean-Reversion Tests of the Law of One Price,2001
10.1111/1468-0262.00200,Nonparametric Estimation of a Generalized Additive Model With an Unknown Link Function,2001
10.1111/1468-0262.00201,Decreasing Relative Risk Aversion and Tests of Risk Sharing,2001
10.1111/1468-0262.00204,Submission of Manuscripts To Econometrica,2001
10.1111/1468-0262.00205,A Parametric Approach to Flexible Nonlinear Inference,2001
10.1111/1468-0262.00206,Liquidity Constrained Markets Versus Debt Constrained Markets,2001
10.1111/1468-0262.00207,"An Adaptive, Rate-Optimal Test of a Parametric Mean-Regression Model Against a Nonparametric Alternative",2001
10.1111/1468-0262.00208,Term Structures of Credit Spreads with Incomplete Accounting Information,2001
10.1111/1468-0262.00209,Public Disclosure and Dissimulation of Insider Trades,2001
10.1111/1468-0262.00210,Testing When a Parameter is on the Boundary of the Maintained Hypothesis,2001
10.1111/1468-0262.00211,Learning from Popularity,2001
10.1111/1468-0262.00212,Optimization Incentives and Coordination Failure in Laboratory Stag Hunt Games,2001
10.1111/1468-0262.00213,Direct Proofs of Generic Finiteness of Nash Equilibrium Outcomes,2001
10.1111/1468-0262.00214,Income Taxes and the Provision of Public Goods: Existence of an Optimum,2001
10.1111/1468-0262.00215,Some Limitations of Virtual Bayesian Implementation,2001
10.1111/1468-0262.00219,2000 Election of Fellows to the Econometric Society,2001
10.1111/1468-0262.00220,Fellows of the Econometric Society January 2001,2001
10.1111/1468-0262.00221,Submission of Manuscripts to Econometrica,2001
10.1111/1468-0262.00222,Nonspeculative Bubbles in Experimental Asset Markets: Lack of Common Knowledge of Rationality vs. Actual Irrationality,2001
10.1111/1468-0262.00223,Single Crossing Properties and the Existence of Pure Strategy Equilibria in Games of Incomplete Information,2001
10.1111/1468-0262.00224,Representing Preferences with a Unique Subjective State Space,2001
10.1111/1468-0262.00225,Dynamic Choices of Hyperbolic Consumers,2001
10.1111/1468-0262.00226,Likelihood Inference for Discretely Observed Nonlinear Diffusions,2001
10.1111/1468-0262.00227,Necessity of Transversality Conditions for Infinite Horizon Problems,2001
10.1111/1468-0262.00228,Strategic Candidacy and Voting Procedures,2001
10.1111/1468-0262.00229,Testing and Characterizing Properties of Nonadditive Measures Through Violations of the Sure-Thing Principle,2001
10.1111/1468-0262.00230,Cooperation and Punishment,2001
10.1111/1468-0262.00231,Contracting with Imperfect Commitment and the Revelation Principle: The Single Agent Case,2001
10.1111/1468-0262.00232,"Data Markets, Missing Data, and Incentive Pay",2001
10.1111/1468-0262.00233,Convex Potentials with an Application to Mechanism Design,2001
10.1111/1468-0262.00235,Submission of Manuscripts to the Econometric Society Monograph Series,2001
10.1111/1468-0262.00236,Submission of Manuscripts To Econometrica,2001
10.1111/1468-0262.00237,Estimating the Return to Schooling: Progress on Some Persistent Econometric Problems,2001
10.1111/1468-0262.00238,Choosing the Number of Instruments,2001
10.1111/1468-0262.00239,Cognition and Behavior in Normal-Form Games: An Experimental Study,2001
10.1111/1468-0262.00240,Efficient Design with Interdependent Valuations,2001
10.1111/1468-0262.00241,"Stochastic Algorithms, Symmetric Markov Perfect Equilibrium, and the 'curse' of Dimensionality",2001
10.1111/1468-0262.00242,Subsampling Intervals in Autoregressive Models with Linear Time Trend,2001
10.1111/1468-0262.00243,Common Knowledge with Monotone Statistics,2001
10.1111/1468-0262.00244,Any Inspection is Manipulable,2001
10.1111/1468-0262.00245,Common Agency and the Revelation Principle,2001
10.1111/1468-0262.00246,Robust Equilibria of Potential Games,2001
10.1111/1468-0262.00247,More Results on the Exact Small Sample Properties of the Instrumental Variable Estimator,2001
10.1111/1468-0262.00248,Implementing the First Best in an Agency Relationship with Renegotiation: A Corrigendum,2001
10.1111/1468-0262.00251,Submission of Manuscripts To Econometrica,2001
10.1111/1468-0262.00252,Temptation and Self-Control,2001
10.1111/1468-0262.00253,Interjurisdictional Sorting and Majority Rule: An Empirical Analysis,2001
